Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #8 - Alabama A&M,0.8411333333333317,24.88333333300001,OFFENSE,1,,DK/MVMT,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X3,,,,
Game #8 - Alabama A&M,52.97446666633334,22.133333334,OFFENSE,2,,P/R,GT Off Reb,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X3,,,,
Game #8 - Alabama A&M,75.10780000033334,11.949999999999989,OFFENSE,3,,ISO,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X2,,,,
Game #8 - Alabama A&M,96.97446666633333,9.800000000000011,OFFENSE,4,,,Transition O,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",O3,TRANSITION,,,
Game #8 - Alabama A&M,132.70780000033335,11.449999999999989,OFFENSE,5,,,"Transition O, GT Off Reb","#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X3,TRANSITION,,,
Game #8 - Alabama A&M,144.15780000033334,2.61663333300001,OFFENSE,6,,OREB,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",O2,,,,
Game #8 - Alabama A&M,202.3911,15.466700000333333,OFFENSE,7,,P/R,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X2,,,,
Game #8 - Alabama A&M,238.60649999999998,33.501300000000015,OFFENSE,8,,DK/MVMT,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",TO,,,,
Game #8 - Alabama A&M,310.97446666633334,14.399999999999977,OFFENSE,9,,P/R,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",X2,,,,
Game #8 - Alabama A&M,336.6244666663333,20.51666666699998,OFFENSE,10,,DHO/HOFF,,"#2 George, #14 Reeves, #13 Kelly, #10 Dowuona, #11 Ndongo",TO,,,,
Game #8 - Alabama A&M,384.0574666666667,28.746433333333357,OFFENSE,11,,DHO/HOFF,,"#1 Sturdivant, #14 Reeves, #13 Kelly, #11 Ndongo, #3 Coleman",O3,,,,
Game #8 - Alabama A&M,463.57053333333334,22.91669999999999,OFFENSE,12,,P/R,,"#1 Sturdivant, #14 Reeves, #13 Kelly, #11 Ndongo, #3 Coleman",O3,,,,
Game #8 - Alabama A&M,512.4539000003333,2.8999999999999773,OFFENSE,13,,OTHER,,"#1 Sturdivant, #14 Reeves, #13 Kelly, #11 Ndongo, #3 Coleman",TO,,,,
Game #8 - Alabama A&M,552.3286333333333,29.775266666666653,OFFENSE,14,,P/R,Forced Foul,"#1 Sturdivant, #23 Sacko, #13 Kelly, #12 Claude, #3 Coleman",X2F,,,,
Game #8 - Alabama A&M,596.6372333333334,6.766666666666765,OFFENSE,15,,P/R,,"#1 Sturdivant, #23 Sacko, #13 Kelly, #12 Claude, #3 Coleman",FT - MK,,,,
