Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #14 - BC 1-6-23 (Final),0.14253695766662133,21.805696375666713,OFFENSE,1,,DK/MVMT,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Reeves #14,X3,Left Wing 3,,,,
Game #14 - BC 1-6-23 (Final),43.09556666666666,14.770499999666669,OFFENSE,2,,P/R,GT Off Reb,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Ndongo #11,X2,Paint,,,,
Game #14 - BC 1-6-23 (Final),57.86606666633333,1.3833666670000042,OFFENSE,3,,,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Dowuona #10,"O2, O2",At Rim,,,,
Game #14 - BC 1-6-23 (Final),85.16853333333333,28.932666666666677,OFFENSE,4,,POST,Forced Foul,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",,,,,,,
Game #14 - BC 1-6-23 (Final),122.96813333333333,22.100600000000014,OFFENSE,5,,ISO,BLOB Off,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",George #2,O2,At Rim,,,,
Game #14 - BC 1-6-23 (Final),164.8547,18.73193333333333,OFFENSE,6,,P/R,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Kelly #13,O3,Right Wing 3,,,,
Game #14 - BC 1-6-23 (Final),207.73743333333334,14.967299999999994,OFFENSE,7,,P/R,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Ndongo #11,X2,Paint,,,,
Game #14 - BC 1-6-23 (Final),235.75503333333333,19.217399999999998,OFFENSE,8,,DK/MVMT,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Dowuona #10,X2,Paint,,,,
Game #14 - BC 1-6-23 (Final),268.1061,18.317366666333328,OFFENSE,9,,ISO,,"#13 Kelly, #10 Dowuona, #11 Ndongo, #2 George, #14 Reeves",Kelly #13,X3,Straightaway 3,,,,
Game #14 - BC 1-6-23 (Final),311.55472222222215,31.684477777777715,OFFENSE,10,,POST,,"#13 Kelly, #11 Ndongo, #12 Claude, #1 Sturdivant, #14 Reeves",Ndongo #11,O2,Left Deep Midrange 2,,,,
Game #14 - BC 1-6-23 (Final),387.4073333329999,14.350466666999978,OFFENSE,11,,P/R,,"#13 Kelly, #11 Ndongo, #12 Claude, #1 Sturdivant, #3 Coleman",Coleman #3,O3,Left Corner 3,,,,
Game #14 - BC 1-6-23 (Final),420.60839999999985,20.438800000000015,OFFENSE,12,,ISO,,"#13 Kelly, #11 Ndongo, #12 Claude, #1 Sturdivant, #3 Coleman",Ndongo #11,O2,At Rim,,,,
Game #14 - BC 1-6-23 (Final),454.8594999999999,18.13973333333331,OFFENSE,13,,P/R,,"#13 Kelly, #11 Ndongo, #12 Claude, #1 Sturdivant, #3 Coleman",Claude #12,O2,At Rim,,,,
