Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #4 - Cincinnati 11-22-23 (FINAL),89.61763333333333,19.266900000666666,OFFENSE,1,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",TO,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),123.818,10.016766666666669,OFFENSE,2,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",TO,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),190.118766667,3.016733333000019,OFFENSE,3,,,,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",TO,TRANSITION,,,
Game #4 - Cincinnati 11-22-23 (FINAL),199.718866667,19.116833333000017,OFFENSE,4,,,,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),239.58603333333335,13.200066666666658,OFFENSE,5,,,ISO,"SLOB Off, Forced Foul","#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",X2F,,"Left Short Midrange 2, Reeves #14, ",,
Game #4 - Cincinnati 11-22-23 (FINAL),272.03606666666667,7.7502666666666755,OFFENSE,6,,,ISO,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",FT - MK,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),368.09262691600264,5.602894708653764,OFFENSE,7,,,ISO,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",FT - MK,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),433.2379666666667,18.450333333333333,OFFENSE,8,,,ISO,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",O2,,"Deep Right Wing 2, Abram #24, ",,
Game #4 - Cincinnati 11-22-23 (FINAL),464.95503333333335,11.833466666666652,OFFENSE,9,,,P/R,Forced Foul,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",X2F,,"At Rim, Kelly #13, ",,New Flag
Game #4 - Cincinnati 11-22-23 (FINAL),495.78856666666667,4.75,OFFENSE,10,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",FT - MK,,,,
Game #4 - Cincinnati 11-22-23 (FINAL),510.28856666666667,5.249966666666694,OFFENSE,11,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #12 Claude, #11 Ndongo",FT - MK,,,,
