Timeline,Start time,Duration,Row,Instance number,DEFENSE,Fouls,Free Throws,HALF COURT ACTIONS,Inbounds,Location Zone,OFFENSE,ON COURT,PLAYERS,Rebounds,Result,SHOT AREA,Shot Type,Shot by Clemson University,Shot by Georgia Institute of Technology,Shots,TRANSITION,Turnovers,Ungrouped,Notes,Flags
Game #17 - Clemson 1-16-24 (Final),68.85493329100004,26.10920004233327,OFFENSE,1,,,,"DHO/HOFF, DHO/HOFF",,,Forced Foul,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",Ndongo #11,,X2F,Paint,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),116.22923333333333,5.5002999999999815,OFFENSE,2,,,,DHO/HOFF,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",,,FT - MI,,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),132.97956666666667,6.25,OFFENSE,3,,,,DHO/HOFF,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",,,FT - MK,,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),161.60836666666668,22.636699999999962,OFFENSE,4,,,,POST,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",Kelly #13,,X2,Paint,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),260.75286283333287,21.230003834000456,OFFENSE,5,,,,P/R,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",Reeves #14,,O3,Left Corner 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),309.00849570833327,32.841670959,OFFENSE,6,,,,DK/MVMT,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",George #2,,X3,Left Wing 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),365.6503666666666,10.050166666666655,OFFENSE,7,,,,,,,Transition O,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",George #2,,X3,Straightaway 3,,,,,TRANSITION,,,,
Game #17 - Clemson 1-16-24 (Final),394.2174,12.900133333333315,OFFENSE,8,,,,ISO,,,,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",George #2,,O3,Left Wing 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),438.8019666673333,8.914733332666628,OFFENSE,9,,,,,,,Transition O,"#13 Kelly, #2 George, #10 Dowuona, #11 Ndongo, #14 Reeves",,,,,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),451.47023333333334,25.157833333333315,OFFENSE,10,,,,POST,,,"BLOB Off, GT Off Reb","#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Sturdivant #1,,X3,Straightaway 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),476.62806666666665,9.87639999999999,OFFENSE,11,,,,DK/MVMT,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Kelly #13,,X3,Left Wing 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),498.9119666666667,24.776766666666617,OFFENSE,12,,,,POST,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Sturdivant #1,,O3,Straightaway 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),543.5582000006666,23.225000000000023,OFFENSE,13,,,,ISO,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Reeves #14,,X2,Nail Area 2,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),579.3979333336666,23.292599999666663,OFFENSE,14,,,,DK/MVMT,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Sturdivant #1,,X3,Straightaway 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),611.3855666666666,21.543166666666707,OFFENSE,15,,,,POST,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",Ndongo #11,,X2,At Rim,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),644.0811333336666,19.60789945800002,OFFENSE,16,,,,P/R,,,,"#13 Kelly, #1 Sturdivant, #12 Claude, #11 Ndongo, #14 Reeves",,,TO,,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),698.7572333333334,16.94660000066665,OFFENSE,17,,,,OFF BALL SCREEN,,,,"#2 George, #1 Sturdivant, #5 Gapare, #10 Dowuona, #3 Coleman",Coleman #3,,O3,Right Wing 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),736.1989333333332,19.771033333333435,OFFENSE,18,,,,,,,Forced Foul,"#2 George, #1 Sturdivant, #5 Gapare, #10 Dowuona, #3 Coleman",,,,,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),763.4073333339999,11.634366666000005,OFFENSE,19,,,,P/R,,,,"#2 George, #1 Sturdivant, #5 Gapare, #10 Dowuona, #3 Coleman",George #2,,X2,Deep Left Wing 2,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),788.7677,15.533733333999862,OFFENSE,20,,,,P/R,,,GT Off Reb,"#2 George, #1 Sturdivant, #5 Gapare, #10 Dowuona, #3 Coleman",Gapare #5,,X3,Left Corner 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),832.5305333339999,8.751633332999972,OFFENSE,21,,,,OFF BALL SCREEN,,,,"#2 George, #1 Sturdivant, #5 Gapare, #11 Ndongo, #3 Coleman",Sturdivant #1,,X3,Straightaway 3,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),875.0852333333333,19.8064000006666,OFFENSE,22,,,,DK/MVMT,,,,"#2 George, #1 Sturdivant, #5 Gapare, #11 Ndongo, #3 Coleman",George #2,,X2,At Rim,,,,,,,,,
Game #17 - Clemson 1-16-24 (Final),914.4995333333333,18.576700000666733,OFFENSE,23,,,,DK/MVMT,,,GT Off Reb,"#2 George, #1 Sturdivant, #5 Gapare, #11 Ndongo, #3 Coleman",Coleman #3,,X3,Right Corner 3,,,,,,,,,
