Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #6 - Duke 12-2-23 (FINAL),29.69510353666654,23.11099646333346,OFFENSE,1,,,P/R,,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #11 Ndongo",Ndongo #11,O3,Left Corner 3,,,,
Game #6 - Duke 12-2-23 (FINAL),86.35733333333337,24.841833333333284,OFFENSE,2,,,P/R,,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #11 Ndongo",Ndongo #11,X2,At Rim,,,,
Game #6 - Duke 12-2-23 (FINAL),132.1547111111111,8.304922222222217,OFFENSE,3,,,,Transition O,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #11 Ndongo",Kelly #13,O3,Right Wing 3,TRANSITION,,,
Game #6 - Duke 12-2-23 (FINAL),160.09850789366646,8.813458773000207,OFFENSE,4,,,,Transition O,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #11 Ndongo",Reeves #14,O3,Left Wing 3,TRANSITION,,,
Game #6 - Duke 12-2-23 (FINAL),198.1003,20.98810000000003,OFFENSE,5,,,P/R,,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #11 Ndongo",George #2,X3,Left Wing 3,,,,New Flag
Game #6 - Duke 12-2-23 (FINAL),230.5113,15.7543,OFFENSE,6,,,P/R,,"#13 Kelly, #14 Reeves, #2 George, #11 Ndongo, #10 Dowuona",Reeves #14,O3,Right Corner 3,,,,
Game #6 - Duke 12-2-23 (FINAL),292.61417462900005,31.918858704333275,OFFENSE,7,,,DHO/HOFF,Press O,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #23 Sacko",Kelly #13,X2,At Rim,,,,
Game #6 - Duke 12-2-23 (FINAL),387.6171006096666,25.293544263000058,OFFENSE,8,,,CUT,,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #23 Sacko",Sacko #23,O2,At Rim,,,,
Game #6 - Duke 12-2-23 (FINAL),425.7977333333334,6.919166666666683,OFFENSE,9,,,,Transition O,"#13 Kelly, #14 Reeves, #2 George, #10 Dowuona, #23 Sacko",Kelly #13,X3,Right Wing 3,TRANSITION,,,
Game #6 - Duke 12-2-23 (FINAL),519.1522666666667,35.533366666999996,OFFENSE,10,,,DK/MVMT,Press O,"#13 Kelly, #3 Coleman, #1 Sturdivant, #10 Dowuona, #23 Sacko",Coleman #3,X3,Left Wing 3,,,,
