Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #13 - FSU 1-3-23 (FINAL),0.9607071616462406,21.575841525687082,OFFENSE,1,,DK/MVMT,,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",,,,,,,
Game #13 - FSU 1-3-23 (FINAL),27.337133333333327,24.37559999999999,OFFENSE,2,,ISO,BLOB Off,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",Kelly #13,X3,Straightaway 3,,,,
Game #13 - FSU 1-3-23 (FINAL),129.97939999999997,28.510717931333375,OFFENSE,3,,POST,Press O,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",,,,,,,
Game #13 - FSU 1-3-23 (FINAL),164.4596994186597,7.369700581673612,OFFENSE,4,,,BLOB Off,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",,,,,,,
Game #13 - FSU 1-3-23 (FINAL),179.4127333333333,16.6765666666667,OFFENSE,5,,DK/MVMT,SLOB Off,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",Kelly #13,O3,Right Wing 3,,,,
Game #13 - FSU 1-3-23 (FINAL),218.96273333333332,17.95852185900003,OFFENSE,6,,POST,,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",,,,,,,
Game #13 - FSU 1-3-23 (FINAL),247.47920000000002,10.421862900333366,OFFENSE,7,,BLOB,BLOB Off,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",,TO,,,,,
Game #13 - FSU 1-3-23 (FINAL),306.5960666663334,4.7999999999999545,OFFENSE,8,,,"Transition O, GT Off Reb","#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",Reeves #14,X2,At Rim,TRANSITION,,,
Game #13 - FSU 1-3-23 (FINAL),311.39606666633335,5.166666666999959,OFFENSE,9,,OREB,,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",George #2,X2,At Rim,,,,
Game #13 - FSU 1-3-23 (FINAL),347.7460666663334,17.466666667000027,OFFENSE,10,,ISO,Press O,"#11 Ndongo, #23 Sacko, #14 Reeves, #2 George, #13 Kelly",Kelly #13,X2,At Rim,,,,
