Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #5 - Miss State 11-28-23,98.5,20.36666666666666,OFFENSE,1,,,P/R,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",George #2,O2,Left Short Midrange 2,,,,
Game #5 - Miss State 11-28-23,139.866666667,5.433333333000007,OFFENSE,2,,,,Transition O,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",Ndongo #11,O2,At Rim,TRANSITION,,,
Game #5 - Miss State 11-28-23,174.283333333,11.416666666999987,OFFENSE,3,,,P/R,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",George #2,X2,Paint,,,,
Game #5 - Miss State 11-28-23,217.55,9.183333332999979,OFFENSE,4,,,,Transition O,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",Reeves #14,X3,Right Wing 3,TRANSITION,,,
Game #5 - Miss State 11-28-23,266.2,17.600000000000023,OFFENSE,5,,,DHO/HOFF,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",Kelly #13,O3,Right Wing 3,,,,
Game #5 - Miss State 11-28-23,304.96666666666664,16.33333333333337,OFFENSE,6,,,DHO/HOFF,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",George #2,X3,Straightaway 3,,,,
Game #5 - Miss State 11-28-23,331.7833,20.25,OFFENSE,7,,,P/R,Forced Foul,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",Kelly #13,X2F,Deep Left Wing 2,,,,
Game #5 - Miss State 11-28-23,524.6939394659996,5.10368341698279,OFFENSE,8,,,P/R,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",,FT - MK,,,,,
Game #5 - Miss State 11-28-23,542.5939855486621,3.9977078769984473,OFFENSE,9,,,,,"#2 George, #14 Reeves, #13 Kelly, #11 Ndongo, #10 Dowuona",,FT - MI,,,,,
Game #5 - Miss State 11-28-23,585.083333333,31.083333333999917,OFFENSE,10,,,DK/MVMT,,"#1 Sturdivant, #3 Coleman, #13 Kelly, #11 Ndongo, #10 Dowuona",Sturdivant #1,O3,Straightaway 3,,,,
