Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #15 - Notre Dame 1-9-24 (FINAL),2.1053369993314988,19.638663001335175,OFFENSE,1,,DK/MVMT,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",George #2,X3,Left Wing 3,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),55.627633333333335,16.666733333333326,OFFENSE,2,,P/R,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Ndongo #11,O2,Nail Area 2,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),100.97654444444444,8.634788889222222,OFFENSE,3,,,,Transition O,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",George #2,X3,Left Wing 3,TRANSITION,,,
Game #15 - Notre Dame 1-9-24 (FINAL),134.51735555555555,16.061011111111128,OFFENSE,4,,P/R,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Kelly #13,O3,Right Wing 3,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),175.61183333366668,15.333433334000006,OFFENSE,5,,DK/MVMT,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Dowuona #10,X2,At Rim,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),201.5787,14.81680000066666,OFFENSE,6,,P/R,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Kelly #13,X2,Deep Left Wing 2,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),228.64556666766666,9.51539999900001,OFFENSE,7,,ISO,,GT Off Reb,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Ndongo #11,X2,Right Short Midrange 2,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),238.16096666666667,1.7785888888888621,OFFENSE,8,,OREB,,,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Dowuona #10,O2,At Rim,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),268.60731111111113,11.621988889555553,OFFENSE,9,,,,Transition O,"#14 Reeves, #2 George, #10 Dowuona, #11 Ndongo, #13 Kelly",Kelly #13,X3,Left Wing 3,TRANSITION,,,
Game #15 - Notre Dame 1-9-24 (FINAL),314.2299002090075,10.785888888222303,OFFENSE,10,,DK/MVMT,,,"#14 Reeves, #1 Sturdivant, #11 Ndongo, #12 Claude, #13 Kelly",Ndongo #11,X2,At Rim,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),345.33016687500754,27.783533333333366,OFFENSE,11,,P/R,,,"#14 Reeves, #1 Sturdivant, #11 Ndongo, #12 Claude, #13 Kelly",Reeves #14,O2,Nail Area 2,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),404.7393335416742,14.891400000333306,OFFENSE,12,,P/R,,GT Off Reb,"#14 Reeves, #1 Sturdivant, #11 Ndongo, #12 Claude, #13 Kelly",Sturdivant #1,X3,Right Wing 3,,,,
Game #15 - Notre Dame 1-9-24 (FINAL),419.63073354200753,11.783433332999948,OFFENSE,13,,ISO,,Forced Foul,"#14 Reeves, #1 Sturdivant, #11 Ndongo, #12 Claude, #13 Kelly",Ndongo #11,X2F,Left Short Midrange 2,,,,
