Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #10 - UMass 12-21-23 (Final),0.321700000000007,12.150033332999996,OFFENSE,1,,P/R,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",O2,,,,
Game #10 - UMass 12-21-23 (Final),26.605066667000003,9.833333332999999,OFFENSE,2,,DK/MVMT,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",X2,,,,
Game #10 - UMass 12-21-23 (Final),53.63839999999999,26.73333333300002,OFFENSE,3,,DK/MVMT,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",TO,,,,
Game #10 - UMass 12-21-23 (Final),103.33840000000001,28.19999999999999,OFFENSE,4,,POST,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",O2,,,,
Game #10 - UMass 12-21-23 (Final),197.021733333,7.449966667000012,OFFENSE,5,,,Transition O,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",X3,TRANSITION,,,
Game #10 - UMass 12-21-23 (Final),257.121733333,22.25,OFFENSE,6,,ISO,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",O2,,,,
Game #10 - UMass 12-21-23 (Final),294.121733333,26.40050621299997,OFFENSE,7,,POST,,"#13 Kelly, #14 Reeves, #10 Dowuona, #2 George, #11 Ndongo",TO,,,,
Game #10 - UMass 12-21-23 (Final),342.0823333333333,7.300000000333398,OFFENSE,8,,,Transition O,"#13 Kelly, #14 Reeves, #2 George, #11 Ndongo, #23 Sacko",TO,TRANSITION,,,
Game #10 - UMass 12-21-23 (Final),353.5989666666667,22.950033332999965,OFFENSE,9,,P/R,,"#13 Kelly, #14 Reeves, #23 Sacko, #2 George, #11 Ndongo",TO,,,,
Game #10 - UMass 12-21-23 (Final),435.14899999966667,19.716666666999913,OFFENSE,10,,DHO/HOFF,,"#13 Kelly, #23 Sacko, #1 Sturdivant, #3 Coleman, #12 Claude",X3,,,,
Game #10 - UMass 12-21-23 (Final),507.4489666666666,23.766700000000014,OFFENSE,11,,DK/MVMT,Forced Foul,"#5 Gapare, #23 Sacko, #1 Sturdivant, #3 Coleman, #12 Claude",,,,,
Game #10 - UMass 12-21-23 (Final),550.2323333333333,15.0,OFFENSE,12,,P/R,,"#5 Gapare, #23 Sacko, #1 Sturdivant, #3 Coleman, #12 Claude",O3,,,,
Game #10 - UMass 12-21-23 (Final),590.2156666666666,18.0,OFFENSE,13,,P/R,GT Off Reb,"#5 Gapare, #23 Sacko, #1 Sturdivant, #3 Coleman, #12 Claude",X2,,,,
