Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #18 - UVA 1-20-24 (FINAL),1.9108384160093692,26.08305047287952,OFFENSE,1,,POST,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",,TO,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),57.131566667,12.466800000000006,OFFENSE,2,,POST,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",,,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),73.59836666666668,14.119699999999995,OFFENSE,3,,P/R,,SLOB Off,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",Reeves #14,O3,Left Corner 3,,TEAM,,New Flag
Game #18 - UVA 1-20-24 (FINAL),106.648566667,11.250100000000003,OFFENSE,4,,,,Transition O,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",Reeves #14,X3,Left Corner 3,TRANSITION,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),128.9654,14.819099999999992,OFFENSE,5,,ISO,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",Kelly #13,O2,Right Short Midrange 2,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),175.0847,30.93349999999998,OFFENSE,6,,P/R,,Forced Foul,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",,X2F,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),235.6079114163174,3.898183416670463,OFFENSE,7,,P/R,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",,FT - MK,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),253.4109113740185,3.10206787561674,OFFENSE,8,,P/R,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",,FT - MK,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),278.702,20.750099999999975,OFFENSE,9,,P/R,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",George #2,O2,Deep Left Wing 2,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),331.04679183264733,24.016174834019353,OFFENSE,10,,POST,,,"#13 Kelly, #11 Ndongo, #10 Dowuona, #14 Reeves, #2 George",Ndongo #11,O2,Paint,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),375.4631,15.583433333000016,OFFENSE,11,,,,Forced Foul,"#10 Dowuona, #11 Ndongo, #13 Kelly, #14 Reeves, #2 George",,,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),396.7227666666667,26.22324444444439,OFFENSE,12,,DK/MVMT,,,"#13 Kelly, #11 Ndongo, #12 Claude, #14 Reeves, #1 Sturdivant",,TO,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),446.2897999996666,29.733533333666742,OFFENSE,13,,POST,,,"#13 Kelly, #11 Ndongo, #12 Claude, #14 Reeves, #1 Sturdivant",Kelly #13,X3,Left Corner 3,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),490.6792666666667,30.57763333300005,OFFENSE,14,,DK/MVMT,,,"#2 George, #3 Coleman, #12 Claude, #5 Gapare, #1 Sturdivant",Sturdivant #1,X3,Straightaway 3,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),556.9518666666668,19.483466666999902,OFFENSE,15,,DK/MVMT,,"Transition O, GT Off Reb","#2 George, #3 Coleman, #12 Claude, #5 Gapare, #1 Sturdivant",Coleman #3,X2,Paint,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),576.4353333336667,4.5167999996666595,OFFENSE,16,,,,,"#2 George, #3 Coleman, #12 Claude, #5 Gapare, #1 Sturdivant",,,,,TEAM,,
Game #18 - UVA 1-20-24 (FINAL),592.9686666666666,19.76679999999999,OFFENSE,17,,DK/MVMT,,BLOB Off,"#2 George, #3 Coleman, #12 Claude, #5 Gapare, #1 Sturdivant",Gapare #5,O3,Right Corner 3,,TEAM,,
