Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #2 - Howard 11-09-23,69.723,14.158000000000001,OFFENSE,1,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2,,"2pt Make, Claude #12, At Rim, ",,
Game #2 - Howard 11-09-23,109.652,15.534999999999997,OFFENSE,2,,,CUT,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2F,,"2pt Make, Forced Foul, At Rim, Reeves #14, ",,
Game #2 - Howard 11-09-23,145.636,8.759000000000015,OFFENSE,3,,,CUT,,"#24 Abram, #13 Kelly, #5 Gapare, #14 Reeves, #12 Claude",FT - MK,,,,
Game #2 - Howard 11-09-23,172.488983334,8.456016665999982,OFFENSE,4,,,,,"#24 Abram, #13 Kelly, #5 Gapare, #14 Reeves, #12 Claude",O2,TRANSITION,"Transition O, 2pt Make, At Rim, Claude #12, ",,
Game #2 - Howard 11-09-23,233.950383334,4.99961666599998,OFFENSE,5,,,,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",,,,,
Game #2 - Howard 11-09-23,261.828233334,7.622766666000018,OFFENSE,6,,,,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",TO,TRANSITION,"Transition O, Turnover, ",,
Game #2 - Howard 11-09-23,275.647,14.242599999999982,OFFENSE,7,,,DK/MVMT,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X2,,"Claude #12, At Rim, ",,
Game #2 - Howard 11-09-23,322.739083334,14.781433332999995,OFFENSE,8,,,CUT,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2,,"2pt Make, At Rim, Kelly #13, ",,
Game #2 - Howard 11-09-23,352.715,16.734000000000037,OFFENSE,9,,,OFF BALL SCREEN,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2,,"2pt Make, At Rim, Claude #12, ",,
Game #2 - Howard 11-09-23,398.264,5.7729666669999915,OFFENSE,10,,,,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2,TRANSITION,"Transition O, 2pt Make, At Rim, Reeves #14, ",,
