Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #12 - Nevada 12-24-23 (FINAL),1.7764666666666642,23.033333333333346,OFFENSE,1,,DK/MVMT,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #11 Ndongo",O3,,,,
Game #12 - Nevada 12-24-23 (FINAL),49.07646666699999,21.583333333000013,OFFENSE,2,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #11 Ndongo",X3,,,,New Flag
Game #12 - Nevada 12-24-23 (FINAL),76.649630278,16.110169721999995,OFFENSE,3,,ISO,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #11 Ndongo",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),111.20980000000002,6.933300000000003,OFFENSE,4,,,Transition O,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #11 Ndongo",X3,TRANSITION,,,
Game #12 - Nevada 12-24-23 (FINAL),142.00979999999998,6.033333333000002,OFFENSE,5,,,Transition O,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #11 Ndongo",,TRANSITION,,,
Game #12 - Nevada 12-24-23 (FINAL),164.15980000000002,23.433333333000007,OFFENSE,6,,P/R,BLOB Off,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X3,,,,
Game #12 - Nevada 12-24-23 (FINAL),195.12225974900002,23.509058126000014,OFFENSE,7,,DK/MVMT,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",TO,,,,
Game #12 - Nevada 12-24-23 (FINAL),281.75980000000004,14.683299999999974,OFFENSE,8,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",O3,,,,
Game #12 - Nevada 12-24-23 (FINAL),306.943133333,10.449966667000012,OFFENSE,9,,DK/MVMT,GT Off Reb,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),317.3931,4.100033332999999,OFFENSE,10,,OREB,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",O3,,,,
Game #12 - Nevada 12-24-23 (FINAL),348.63645556800003,7.369481385999961,OFFENSE,11,,,Transition O,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",O2,TRANSITION,,,
Game #12 - Nevada 12-24-23 (FINAL),375.823538809,30.086261191000006,OFFENSE,12,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),411.3098,17.649999999999977,OFFENSE,13,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),437.4098,21.950000000000045,OFFENSE,14,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",O2,,,,
Game #12 - Nevada 12-24-23 (FINAL),479.276466667,21.350000000000023,OFFENSE,15,,P/R,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X3,,,,
Game #12 - Nevada 12-24-23 (FINAL),515.7431333330001,21.48517760099992,OFFENSE,16,,DK/MVMT,,"#14 Reeves, #13 Kelly, #2 George, #5 Gapare, #12 Claude",X3,,,,
Game #12 - Nevada 12-24-23 (FINAL),550.4030333333333,21.326664323333375,OFFENSE,17,,ISO,GT Off Reb,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),571.7296976566666,15.795328294,OFFENSE,18,,DK/MVMT,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",X3,,,,
Game #12 - Nevada 12-24-23 (FINAL),629.9764064456666,21.286558630999934,OFFENSE,19,,P/R,GT Off Reb,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",X2,,,,New Flag
Game #12 - Nevada 12-24-23 (FINAL),651.2629650766665,5.281760492000103,OFFENSE,20,,OREB,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",O2,,,,
Game #12 - Nevada 12-24-23 (FINAL),677.0735429096666,12.349758421999923,OFFENSE,21,,P/R,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",O2,,,,New Flag
Game #12 - Nevada 12-24-23 (FINAL),712.2151333336666,13.899999999999864,OFFENSE,22,,P/R,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",TO,,,,
Game #12 - Nevada 12-24-23 (FINAL),761.0984666666665,18.683333333000064,OFFENSE,23,,P/R,,"#13 Kelly, #3 Coleman, #1 Sturdivant, #23 Sacko, #11 Ndongo",X2,,,,
Game #12 - Nevada 12-24-23 (FINAL),842.0751956566666,16.356571009999925,OFFENSE,24,,P/R,,"#13 Kelly, #3 Coleman, #1 Sturdivant, #11 Ndongo, #5 Gapare",O3,,,,New Flag
Game #12 - Nevada 12-24-23 (FINAL),886.9253666666665,21.72310000000016,OFFENSE,25,,P/R,,"#13 Kelly, #3 Coleman, #1 Sturdivant, #5 Gapare, #11 Ndongo",X3,,,,
