Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #9 - Penn State 12-16-23 (FINAL),18.04606666666666,30.73336666666667,OFFENSE,1,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",X2,,,,
Game #9 - Penn State 12-16-23 (FINAL),82.64609999966666,10.01666666700001,OFFENSE,2,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",X3,,,,
Game #9 - Penn State 12-16-23 (FINAL),173.84609999966668,20.54996666699998,OFFENSE,3,,P/R,Press O,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),204.72943333333333,20.116666666333344,OFFENSE,4,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",X2,,,,
Game #9 - Penn State 12-16-23 (FINAL),236.96276666666665,14.78333333300003,OFFENSE,5,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),265.62943333366667,8.633333332999996,OFFENSE,6,,P/R,GT Off Reb,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",X2,,,,
Game #9 - Penn State 12-16-23 (FINAL),274.26276666666666,3.066666666666663,OFFENSE,7,,OREB,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),281.4294333336667,32.349999999999966,OFFENSE,8,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),327.52943333366665,8.133333332999996,OFFENSE,9,,POST,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),342.51276666666666,17.283299999999997,OFFENSE,10,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",O3,,,,
Game #9 - Penn State 12-16-23 (FINAL),374.6127666666667,30.883299999999963,OFFENSE,11,,P/R,,"#13 Kelly, #11 Ndongo, #2 George, #10 Dowuona, #14 Reeves",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),417.3192333330001,24.5166999999999,OFFENSE,12,,P/R,,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),454.160059577,26.79254042299999,OFFENSE,13,,DHO/HOFF,Forced Foul,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",,,,,
Game #9 - Penn State 12-16-23 (FINAL),494.43593333300004,17.366666666666674,OFFENSE,14,,DK/MVMT,SLOB Off,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",O3,,,,
Game #9 - Penn State 12-16-23 (FINAL),527.5192333330001,18.31913708600007,OFFENSE,15,,DK/MVMT,GT Off Reb,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",X3,,,,
Game #9 - Penn State 12-16-23 (FINAL),545.8383704190001,1.5808962469999415,OFFENSE,16,,OREB,GT Off Reb,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",X2,,,,
Game #9 - Penn State 12-16-23 (FINAL),547.4192666660001,2.1333333339999854,OFFENSE,17,,OREB,,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),566.285933333,12.950000000000045,OFFENSE,18,,CUT,,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",X2F,,,,
Game #9 - Penn State 12-16-23 (FINAL),601.7525999996667,4.25,OFFENSE,19,,CUT,,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",FT - MI,,,,
Game #9 - Penn State 12-16-23 (FINAL),616.2692333330001,3.25,OFFENSE,20,,CUT,,"#3 Coleman, #12 Claude, #1 Sturdivant, #13 Kelly, #5 Gapare",FT - MK,,,,
Game #9 - Penn State 12-16-23 (FINAL),653.9692333330001,16.299999999999955,OFFENSE,21,,P/R,,"#3 Coleman, #12 Claude, #1 Sturdivant, #24 Abram, #5 Gapare",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),687.6528457076681,19.704554291998647,OFFENSE,22,,DK/MVMT,"Press O, Zone O","#3 Coleman, #12 Claude, #1 Sturdivant, #24 Abram, #5 Gapare",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),756.0240666663335,27.50000000033333,OFFENSE,23,,P/R,Press O,"#3 Coleman, #12 Claude, #1 Sturdivant, #24 Abram, #5 Gapare",O3,,,,
Game #9 - Penn State 12-16-23 (FINAL),803.2407333326669,13.816666666999936,OFFENSE,24,,DK/MVMT,,"#3 Coleman, #12 Claude, #1 Sturdivant, #24 Abram, #5 Gapare",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),918.6906999996668,10.166699999999992,OFFENSE,25,,,"Press O, Transition O, GT Off Reb","#3 Coleman, #10 Dowuona, #2 George, #24 Abram, #14 Reeves",X3,TRANSITION,,,
Game #9 - Penn State 12-16-23 (FINAL),941.6240666663334,18.716666666333367,OFFENSE,26,,P/R,BLOB Off,"#3 Coleman, #10 Dowuona, #2 George, #24 Abram, #14 Reeves",,,,,
Game #9 - Penn State 12-16-23 (FINAL),969.8740666663334,13.733333333333348,OFFENSE,27,,P/R,"BLOB Off, GT Off Reb","#3 Coleman, #10 Dowuona, #2 George, #24 Abram, #14 Reeves",X3,,,,
Game #9 - Penn State 12-16-23 (FINAL),983.6073999996668,1.8666666670001177,OFFENSE,28,,OREB,,"#3 Coleman, #10 Dowuona, #2 George, #24 Abram, #14 Reeves",O2,,,,
Game #9 - Penn State 12-16-23 (FINAL),1000.2073999996669,19.305646519999982,OFFENSE,29,,P/R,,"#3 Coleman, #10 Dowuona, #2 George, #24 Abram, #14 Reeves",X2,,,,
Game #9 - Penn State 12-16-23 (FINAL),1071.8073999996668,18.3205243540001,OFFENSE,30,,CUT,,"#3 Coleman, #2 George, #13 Kelly, #14 Reeves, #11 Ndongo",TO,,,,
Game #9 - Penn State 12-16-23 (FINAL),1109.4729999996666,8.316633333333357,OFFENSE,31,,,"Transition O, Forced Foul","#12 Claude, #11 Ndongo, #2 George, #13 Kelly, #14 Reeves",,TRANSITION,,,
Game #9 - Penn State 12-16-23 (FINAL),1132.789633333,18.63336666700002,OFFENSE,32,,P/R,"BLOB Off, GT Off Reb","#12 Claude, #11 Ndongo, #2 George, #13 Kelly, #14 Reeves",X3,,,,
Game #9 - Penn State 12-16-23 (FINAL),1151.423,7.366666666000128,OFFENSE,33,,P/R,,"#12 Claude, #11 Ndongo, #2 George, #13 Kelly, #14 Reeves",O2,,,,
