Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #3 - UMass Lowell 11-14-23 (FINAL),67.5986882706528,30.1543117293472,OFFENSE,1,,,DHO/HOFF,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X2,,"At Rim, Claude #12, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),108.355,8.75,OFFENSE,2,,,BLOB,BLOB Off,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",TO,,,,
Game #3 - UMass Lowell 11-14-23 (FINAL),134.716,3.75066666699999,OFFENSE,3,,,,Transition O,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",TO,TRANSITION,,,
Game #3 - UMass Lowell 11-14-23 (FINAL),182.233333334,9.582666665999994,OFFENSE,4,,,DK/MVMT,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X3,,"Right Wing 3, Abram #24, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),203.516,12.867000000000019,OFFENSE,5,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X2,,"At Rim, Reeves #14, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),262.565,14.317999999999984,OFFENSE,6,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",O2,,"Paint, Kelly #13, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),294.4,15.133333334000042,OFFENSE,7,,,P/R,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X3,,"Straightaway 3, Kelly #13, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),317.066666667,20.866666667000004,OFFENSE,8,,,DK/MVMT,,"#24 Abram, #13 Kelly, #14 Reeves, #5 Gapare, #12 Claude",X3,,"Right Corner 3, Kelly #13, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),568.1965217909826,13.096724102358735,OFFENSE,9,,,P/R,,"#1 Sturdivant, #13 Kelly, #3 Coleman, #5 Gapare, #23 Sacko",O3,,"Right Corner 3, Coleman #3, ",,
Game #3 - UMass Lowell 11-14-23 (FINAL),732.666666667,8.499333333000095,OFFENSE,10,,,,Forced Foul,"#1 Sturdivant, #13 Kelly, #3 Coleman, #5 Gapare, #23 Sacko",,TRANSITION,,,
